t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0,alvo
105765.89,105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36
105745.98,105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85
105751.72,105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89
105755.67,105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23
105739.98,105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78
105725.64,105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12
105691.02,105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99
105656.37,105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59
105670.91,105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0
105719.3,105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01
105750.03,105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65
105770.27,105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19
105802.87,105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5
105774.04,105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01
105806.99,105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57
105791.36,105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86
105790.85,105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61
105785.89,105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6
105842.23,105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12
105830.78,105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95
105809.12,105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33
105831.99,105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23
105787.59,105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44
105782.0,105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08
105777.01,105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73
105779.65,105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83
105784.19,105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55
105739.5,105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53
105739.01,105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66
105746.57,105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91
105765.86,105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17
105752.61,105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46
105737.6,105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76
105683.12,105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85
105648.95,105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26
105641.33,105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78
105621.23,105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27
105586.44,105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94
105608.08,105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96
105578.73,105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26
105490.83,105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63
105482.55,105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47
105499.53,105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92
105495.66,105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7
105493.91,105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75
105465.17,105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69
105437.46,105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17
105389.76,105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1
105392.85,105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55
105388.26,105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41
105396.78,105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16
105444.27,105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53
105471.94,105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53,105511.42
105506.96,105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53,105511.42,105533.55
105483.26,105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53,105511.42,105533.55,105526.97
105470.63,105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53,105511.42,105533.55,105526.97,105515.05
105515.47,105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53,105511.42,105533.55,105526.97,105515.05,105478.2
105493.92,105504.7,105509.75,105527.69,105507.17,105518.1,105555.55,105550.41,105518.16,105533.53,105511.42,105533.55,105526.97,105515.05,105478.2,105484.87
