janela,horizonte,mae,mape
15,48,199.22388138561448,0.18186490057482788
15,49,201.0481152391011,0.18352491606765278
15,50,203.31051098892763,0.1855819191542286
15,51,205.72473390185053,0.18777861775290627
15,52,208.21079683653178,0.19004320631162488
15,53,210.7987514163301,0.1923993420492146
15,54,213.41042113539024,0.19477923614801507
15,55,215.9835550973718,0.19712215394261215
15,56,218.39118167327652,0.1993162273810932
15,57,220.6301971562384,0.20135744188944552
15,58,222.45991542921766,0.20302358854276645
15,59,224.25557399848427,0.20465787786137482
15,60,226.26104731066016,0.20648102358384582
30,1,41.41169955052893,0.03779397529738539
30,2,50.14239123304903,0.04577212470634262
30,3,60.32513489457642,0.05507533417839
30,4,68.33530500970544,0.062389003857879204
30,5,75.08278760837939,0.06855047850882766
30,6,81.35497885813575,0.07428638152190616
30,7,87.15770342599158,0.07958648660407776
30,8,92.70519160331416,0.08465026993028897
30,9,97.98305592467896,0.08947252835469688
30,10,102.32608641053626,0.09344509087574743
30,11,106.37269429698411,0.09714566277815147
30,12,110.45141811398507,0.10087849307368559
30,13,113.8080232568624,0.1039515864414459
30,14,116.99472880400621,0.10686961502056164
30,15,119.38857892040919,0.10905771080029665
30,16,121.52591370310977,0.11101237852404434
30,17,123.58638987818465,0.11289511195901619
30,18,125.61709624441012,0.11475104663466144
30,19,127.97399856711093,0.11690462100183703
30,20,130.3142028965198,0.11904298243127531
30,21,132.71346643704257,0.12123523438651516
30,22,135.26547597253452,0.12356905875230524
30,23,137.44082194737493,0.12556012544356743
30,24,139.33599732911173,0.12729497018950287
30,25,140.94545316696943,0.12876527402580495
30,26,142.67511531469088,0.13034624290526678
30,27,144.87161534552618,0.13235245675615323
30,28,147.0042719337396,0.13429954208003034
30,29,149.2147914708852,0.13631739965730152
30,30,151.33562908064343,0.13825384332424204
30,31,153.4995262367218,0.14022890688793443
30,32,156.13468488525325,0.14263528031523276
30,33,158.5555981563567,0.144846265849812
30,34,160.7478833704067,0.14684957503529275
30,35,162.52070546158419,0.14846760214393476
30,36,164.2025896401444,0.15000234749282662
30,37,166.3940509531191,0.15200007604474475
30,38,168.61957441911593,0.1540292587560934
30,39,170.996169884799,0.15619683675844048
30,40,173.5812780519739,0.15855433313286274
30,41,175.91516520111318,0.16068336239942083
30,42,178.8638618301943,0.1633735238778813
30,43,181.58319913087908,0.1658546529349695
30,44,184.2627569167778,0.16829885743757841
30,45,186.611785402656,0.17044004067366578
30,46,188.7349412276452,0.1723736282448329
30,47,190.89383513818666,0.1743381720143039
30,48,193.06125382925993,0.17631056681181126
30,49,195.27938127485547,0.1783305053120341
30,50,197.71679685442328,0.18055034479299126
30,51,199.8967462167948,0.1825362184406183
30,52,202.76567388626475,0.1851498546678706
